Instance	--random --first --transpose	--random --best --transpose	--cw --first --transpose	--cw --best --transpose	--random --first --exchange	--random --best --exchange	--cw --first --exchange	--cw --best --exchange	--random --first --insert	--random --best --insert	--cw --first --insert	--cw --best --insert	--vnd0	--vnd1
N-tiw56r72_150	0.000492	0.000951	0.002102	0.002709	0.450561	0.082431	0.435675	0.072101	0.496731	0.126623	0.334136	0.104757	0.260768	0.170006											
N-tiw56r72_250	0.00172	0.003506	0.008998	0.010396	7.09144	1.15573	6.05306	0.965562	6.34679	1.03688	4.47129	1.23999	2.97463	2.52752											
Total time	0.083078	0.158546	0.424974	0.486691	280.087188	44.179333	228.531439	41.129326	248.674029	50.076595	168.900878	45.273992	130.267559	101.896418											
																									
Instance	--random --first --transpose	--random --best --transpose	--cw --first --transpose	--cw --best --transpose	--random --first --exchange	--random --best --exchange	--cw --first --exchange	--cw --best --exchange	--random --first --insert	--random --best --insert	--cw --first --insert	--cw --best --insert	--vnd0	--vnd1	
N-be75eec_150	39.41690488	39.21789994	19.98711966	19.98867013	2.461476708	3.221003162	2.465295444	2.651121445	1.830925903	1.737668355	1.472854818	1.618914285	1.786077291	2.105559046	
N-be75eec_250	36.2617421	36.29441753	17.49825407	17.48663889	2.0912499	3.416797352	2.665374942	3.219665346	2.222086543	2.610188774	1.570118422	2.661113418	1.795000929	1.784712555	
N-be75np_150	32.96233444	32.98403683	15.31141954	15.29334119	2.400156112	3.296505246	3.119401477	4.883065654	0.8087450736	1.813118307	2.196833848	2.525687086	1.874615382	1.91328104	
N-be75np_250	33.14895101	33.48262542	16.87920089	16.88046394	2.315388643	3.893551121	2.266287012	3.440600218	2.111594699	2.105588211	2.015479672	2.208327215	1.852484934	2.094877578	
N-be75oi_150	33.47716972	33.47721423	13.90359549	13.854008	2.027523287	1.778383946	1.783814534	2.995503295	1.531915386	1.509703392	1.046233887	1.758308577	1.260430512	1.708899131	
N-be75oi_250	49.89120312	49.6663506	14.84241542	14.8461717	2.515052209	2.821646214	2.532953779	3.302552107	2.127715015	2.741630593	1.660548323	2.60787642	2.132266549	2.171386049	
N-be75tot_150	36.81893619	36.84811169	19.30598606	19.28739023	3.305864959	4.066324173	3.517157432	3.828020964	2.854495147	2.423218587	2.104534231	1.675064355	2.366487092	2.567273129	
N-be75tot_250	34.07121102	33.79712893	16.92466868	16.9224722	1.962068128	3.491552221	2.952235354	3.867357219	1.478732459	2.067147138	2.076562936	2.733562739	2.087425827	1.876767138	
N-stabu1_150	36.44964134	36.1526387	17.5188439	17.38795548	2.621349973	3.699475473	2.92238637	3.322388874	1.795160328	2.096787879	1.610094404	1.930534556	1.19767767	1.090783147	
N-stabu1_250	36.96055147	37.07794335	15.52706096	15.50250799	2.461897044	2.746212953	1.699101731	2.815570897	1.534592953	2.280610619	1.890746643	2.551313255	2.141623498	1.7490472	
N-stabu2_150	37.0055676	36.90853783	18.95726854	18.99075179	2.592698204	2.225283753	3.004248605	3.890040942	1.563706662	2.386761249	1.659696576	1.847239701	1.972668986	1.707622209	
N-stabu2_250	29.89759182	29.52296293	16.27487034	16.25244512	2.846845619	3.598077223	2.543353094	3.679639263	2.211783402	1.892587141	2.065606488	2.368368606	2.646044745	1.666830718	
N-stabu3_150	41.20952589	41.30860702	18.46848814	18.46977405	2.477493906	3.538098791	2.907651019	3.596297039	1.12363636	1.732888883	2.138525134	1.830817137	1.740116552	1.684911356	
