Instance Init Pivot Neighborhood Cost Time
N-t65f11xx_250 cw first exchange 8149389 4.26561
N-t65f11xx_250 cw first insert 8260731 3.33138
N-t65f11xx_250 cw best transpose 7007792 0.004548
N-t65f11xx_250 cw best exchange 8115881 0.780117
N-t65f11xx_250 cw best insert 8244539 0.790351
N-t65l11xx_150 random first transpose 128191 1.5e-05
N-t65l11xx_150 random first exchange 250051 0.365827
N-t65l11xx_150 random first insert 248920 0.232753
N-t65l11xx_150 random best transpose 128369 1.4e-05
N-t65l11xx_150 random best exchange 247080 0.081769
N-t65l11xx_150 random best insert 249865 0.094497
N-t65l11xx_150 cw first transpose 216735 0.00099
N-t65l11xx_150 cw first exchange 247323 0.280095
N-t65l11xx_150 cw first insert 250147 0.148255
N-t65l11xx_150 cw best transpose 216735 0.001013
N-t65l11xx_150 cw best exchange 246968 0.06954
N-t65l11xx_150 cw best insert 249784 0.07871
N-t65l11xx_250 random first transpose 395635 2.4e-05
N-t65l11xx_250 random first exchange 652205 4.92934
N-t65l11xx_250 random first insert 653157 3.0012
N-t65l11xx_250 random best transpose 396207 3.2e-05
N-t65l11xx_250 random best exchange 642843 0.670545
N-t65l11xx_250 random best insert 651004 0.887427
N-t65l11xx_250 cw first transpose 552918 0.004216
N-t65l11xx_250 cw first exchange 646571 2.83261
N-t65l11xx_250 cw first insert 651572 1.69235
N-t65l11xx_250 cw best transpose 552918 0.004569
N-t65l11xx_250 cw best exchange 642658 0.63643
N-t65l11xx_250 cw best insert 654014 0.858158
N-t65n11xx_150 random first transpose 342935 2.5e-05
N-t65n11xx_150 random first exchange 535610 0.479914
N-t65n11xx_150 random first insert 540462 0.418794
N-t65n11xx_150 random best transpose 346166 2.2e-05
N-t65n11xx_150 random best exchange 531415 0.076032
N-t65n11xx_150 random best insert 539303 0.1015
N-t65n11xx_150 cw first transpose 444364 0.001007
N-t65n11xx_150 cw first exchange 531447 0.272521
N-t65n11xx_150 cw first insert 539958 0.215465
N-t65n11xx_150 cw best transpose 444349 0.000997
N-t65n11xx_150 cw best exchange 521599 0.081039
N-t65n11xx_150 cw best insert 537031 0.088608
N-t65n11xx_250 random first transpose 952838 3.4e-05
N-t65n11xx_250 random first exchange 1390315 5.25416
N-t65n11xx_250 random first insert 1395804 4.52664
N-t65n11xx_250 random best transpose 955134 5.3e-05
N-t65n11xx_250 random best exchange 1373112 0.907721
N-t65n11xx_250 random best insert 1388620 0.881789
N-t65n11xx_250 cw first transpose 1186552 0.004331
N-t65n11xx_250 cw first exchange 1396236 4.76468
N-t65n11xx_250 cw first insert 1397345 3.06509
N-t65n11xx_250 cw best transpose 1186522 0.00602
N-t65n11xx_250 cw best exchange 1358556 0.712312
N-t65n11xx_250 cw best insert 1391217 0.878245
N-t69r11xx_150 random first transpose 7600701 1.7e-05
N-t69r11xx_150 random first exchange 11426358 0.406452
N-t69r11xx_150 random first insert 11590407 0.324377
N-t69r11xx_150 random best transpose 7609678 3e-05
N-t69r11xx_150 random best exchange 11418554 0.084567
N-t69r11xx_150 random best insert 11597668 0.084441
N-t69r11xx_150 cw first transpose 9432628 0.00101
N-t69r11xx_150 cw first exchange 11461909 0.409305
N-t69r11xx_150 cw first insert 11584592 0.262489
N-t69r11xx_150 cw best transpose 9432361 0.001274
N-t69r11xx_150 cw best exchange 11433872 0.100241
N-t69r11xx_150 cw best insert 11512733 0.085253
N-t69r11xx_250 random first transpose 21060290 4.2e-05
N-t69r11xx_250 random first exchange 30982032 5.98734
N-t69r11xx_250 random first insert 31210160 4.43783
N-t69r11xx_250 random best transpose 21165097 5.2e-05
N-t69r11xx_250 random best exchange 30474224 0.801057
N-t69r11xx_250 random best insert 30985808 0.853818
N-t69r11xx_250 cw first transpose 26088649 0.004429
N-t69r11xx_250 cw first exchange 30867930 4.97113
N-t69r11xx_250 cw first insert 30952280 3.19205
N-t69r11xx_250 cw best transpose 26091834 0.004414
